,learning_rate,feature_num,error_mean,columns_name
23,1.7908604865104762,23,0.6053837264051841,"Index(['MLOGP2', 'TIC2', 'Vx', 'P_VSA_p_2', 'CSI', 'H_D/Dt', 'P_VSA_v_3',
       'P_VSA_LogP_8', 'Wi_Dz(v)', 'P_VSA_MR_1'],
      dtype='object')"
24,1.969946535161524,24,0.7393130490545075,"Index(['MLOGP2', 'TIC2', 'Vx', 'P_VSA_p_2', 'CSI', 'P_VSA_LogP_8', 'H_D/Dt',
       'P_VSA_v_3', 'Wi_Dz(v)', 'ZM2Per'],
      dtype='object')"
25,2.1669411886776766,21,0.7088834809310801,"Index(['MLOGP2', 'TIC2', 'Vx', 'P_VSA_p_2', 'P_VSA_LogP_8', 'H_D/Dt',
       'P_VSA_v_3', 'CSI', 'Wi_Dz(v)', 'Wi_Dt'],
      dtype='object')"
26,2.383635307545444,21,0.7358549708413568,"Index(['TIC2', 'Vx', 'MLOGP2', 'P_VSA_p_2', 'P_VSA_LogP_8', 'H_D/Dt',
       'P_VSA_v_3', 'CSI', 'Wi_Dz(v)', 'Wi_Dt'],
      dtype='object')"
27,2.6219988382999886,19,0.7397259386502658,"Index(['TIC2', 'Vx', 'MLOGP2', 'P_VSA_p_2', 'P_VSA_v_3', 'P_VSA_LogP_8',
       'H_D/Dt', 'CSI', 'Wi_Dz(v)', 'P_VSA_LogP_4'],
      dtype='object')"
28,2.8841987221299874,21,0.8112629956531289,"Index(['TIC2', 'Vx', 'P_VSA_p_2', 'P_VSA_LogP_8', 'P_VSA_v_3', 'H_D/Dt',
       'Wi_Dz(v)', 'CSI', 'P_VSA_LogP_4', 'QW_L'],
      dtype='object')"
29,3.1726185943429863,19,0.8489749915299549,"Index(['Vx', 'TIC2', 'P_VSA_p_2', 'P_VSA_v_3', 'P_VSA_LogP_8', 'H_D/Dt',
       'TIC1', 'Wi_Dz(v)', 'P_VSA_LogP_4', 'Wi_Dt'],
      dtype='object')"
30,3.489880453777285,17,0.9068475746366915,"Index(['Vx', 'P_VSA_p_2', 'TIC2', 'P_VSA_v_3', 'P_VSA_LogP_8', 'H_D/Dt',
       'TIC1', 'Wi_Dz(v)', 'P_VSA_LogP_4', 'Wi_Dt'],
      dtype='object')"
31,3.8388684991550135,17,1.0973250056132156,"Index(['Vx', 'TIC2', 'P_VSA_p_2', 'P_VSA_LogP_8', 'P_VSA_v_3', 'H_D/Dt',
       'P_VSA_p_3', 'Wi_Dz(v)', 'Wi_Dt', 'MW'],
      dtype='object')"
32,4.222755349070515,19,0.9862859638610042,"Index(['P_VSA_p_2', 'P_VSA_v_3', 'Vx', 'H_D/Dt', 'TIC2', 'P_VSA_LogP_8',
       'Wi_Dz(v)', 'MW', 'P_VSA_p_3', 'P_VSA_LogP_4'],
      dtype='object')"
33,4.645030883977567,16,1.020412890069631,"Index(['P_VSA_p_2', 'P_VSA_v_3', 'Vx', 'P_VSA_LogP_8', 'H_D/Dt', 'TIC2',
       'Wi_Dz(v)', 'Wi_Dt', 'P_VSA_LogP_4', 'MW'],
      dtype='object')"
34,5.109533972375323,13,1.0614330821953726,"Index(['P_VSA_v_3', 'P_VSA_p_2', 'Vx', 'H_D/Dt', 'P_VSA_LogP_8', 'Wi_Dz(v)',
       'Wi_Dt', 'SMTI', 'P_VSA_LogP_4', 'P_VSA_MR_2'],
      dtype='object')"
35,5.620487369612856,13,0.9566430914470028,"Index(['P_VSA_v_3', 'P_VSA_p_2', 'Vx', 'H_D/Dt', 'P_VSA_LogP_8', 'Wi_Dz(v)',
       'Wi_Dt', 'SMTI', 'P_VSA_LogP_4', 'Wi_Dz(p)'],
      dtype='object')"
36,6.182536106574141,13,1.0580732205473082,"Index(['P_VSA_v_3', 'P_VSA_p_2', 'Vx', 'H_D/Dt', 'P_VSA_LogP_8', 'Wi_Dz(v)',
       'Wi_Dt', 'SMTI', 'MW', 'SMTIV'],
      dtype='object')"
37,6.800789717231556,13,1.138525157462419,"Index(['P_VSA_v_3', 'P_VSA_p_2', 'H_D/Dt', 'Vx', 'P_VSA_LogP_8', 'Wi_Dz(v)',
       'MW', 'Wi_Dt', 'SMTI', 'Wi_Dz(p)'],
      dtype='object')"
38,7.480868688954711,13,1.2598313139895114,"Index(['P_VSA_v_3', 'P_VSA_p_2', 'P_VSA_p_3', 'Vx', 'P_VSA_LogP_8', 'H_D/Dt',
       'Wi_Dz(p)', 'Wi_Dt', 'SMTI', 'IDMT'],
      dtype='object')"
39,8.228955557850183,12,1.0142260937307785,"Index(['P_VSA_v_3', 'P_VSA_p_2', 'H_D/Dt', 'Vx', 'SMTI', 'Wi_Dz(p)', 'Wi_Dt',
       'P_VSA_LogP_8', 'P_VSA_LogP_4', 'IDMT'],
      dtype='object')"
40,9.051851113635202,11,1.3301143646717832,"Index(['P_VSA_v_3', 'P_VSA_p_2', 'H_D/Dt', 'Vx', 'P_VSA_LogP_8', 'SMTI',
       'Wi_Dz(p)', 'IDMT', 'Wi_Dt', 'GMTIV'],
      dtype='object')"
41,9.957036224998722,10,1.2808357179449972,"Index(['P_VSA_v_3', 'P_VSA_p_2', 'H_D/Dt', 'SMTI', 'P_VSA_LogP_8', 'Vx',
       'Wi_Dz(p)', 'IDMT', 'GMTIV', 'Wap'],
      dtype='object')"
