result_mean,J
"[[0 3]
 [3 0]
 [4 4]]",1465.6820381548534
"[[2.0944630111367633, 2.7943464972541547]]",2724.17849926965
"[[4.142026513665851, 3.152565611125428], [0.013874290824947995, 2.4303496557397968]]",1835.7073960296857
"[[4.1278739308067856, 3.9438923849618135], [-0.3011178357465526, 2.835727588526638], [3.082795286782234, -0.08684195622242272]]",1394.0422545608878
"[[4.8656816861500864, 3.857113076817232], [1.6915867636587716, 3.8532222526323485], [-1.009144101721446, 2.4134955252625887], [3.082795286782234, -0.08684195622242272]]",1153.6004467075663
"[[-1.7239682185881287, 1.976244296377789], [5.14805581853427, 3.788911364733396], [0.10209722035161624, 3.0882578731196224], [3.042164561685059, -0.09536394545387117], [2.468739995906381, 4.058102894682391]]",1039.0225833834672
"[[0.35524613930045507, 3.1919470008313895], [2.7705588470438838, 4.10534361670097], [1.9729643728523802, -0.225076430798656], [-1.6199803805027893, 2.1189648642869674], [5.273446581583886, 3.802142454951452], [4.3738496210540845, 0.09708402031333264]]",973.1155107792137
